runway_id,ident,runway_length,runway_surface
191,KARM,5004.0,asphalt
192,KART,5000.0,asphalt
193,KART,5000.0,asphalt
194,KARV,5150.0,asphalt
195,KASE,8006.0,asphalt
196,KASG,5302.0,asphalt
197,KASH,5501.0,asphalt
198,KASL,5000.0,asphalt
199,KASN,6001.0,asphalt
200,KAST,5796.0,asphalt
201,KASW,6000.0,asphalt
202,KASX,5199.0,asphalt
203,KATS,5390.0,asphalt
204,KATS,6301.0,asphalt
205,KATY,6895.0,asphalt
206,KATY,6900.0,asphalt
207,KAUG,5001.0,asphalt
208,KAUM,5800.0,grooved concrete
209,KAUO,5264.0,asphalt
210,KAVC,5002.0,asphalt
211,KAVL,8001.0,asphalt
212,KAVO,5364.0,asphalt
213,KAVP,7501.0,asphalt
214,KAVQ,6901.0,asphalt
215,KAWO,5333.0,asphalt
216,KAXH,5003.0,asphalt
217,KAXN,5100.0,asphalt
218,KAXV,5001.0,asphalt
219,KAXX,8900.0,asphalt
220,KAYS,5035.0,asphalt
221,KAYS,6000.0,asphalt
222,KAZC,5099.0,asphalt
223,KAZC,6300.0,asphalt
224,KAZO,6500.0,asphalt
225,KBAF,5000.0,asphalt
226,KBAF,9000.0,asphalt
227,KBAK,5000.0,asphalt
228,KBAK,6400.0,asphalt
229,KBAM,7299.0,asphalt
230,KBAM,7300.0,asphalt
231,KBAX,5000.0,asphalt
232,KBAZ,5352.0,asphalt
233,KBAZ,5364.0,asphalt
234,KBBG,7140.0,grooved concrete
235,KBBP,5000.0,asphalt
236,KBCE,7395.0,asphalt
237,KBCT,6276.0,asphalt
238,KBDE,5499.0,asphalt
239,KBDG,5781.0,asphalt
240,KBDH,5500.0,asphalt
241,KBDL,5145.0,asphalt
242,KBDL,6847.0,asphalt
243,KBDL,9510.0,asphalt
244,KBDN,5200.0,asphalt
245,KBED,5106.0,asphalt
246,KBED,7001.0,asphalt
247,KBEH,5109.0,asphalt
248,KBFD,6309.0,asphalt
249,KBFE,5217.0,asphalt
250,KBFF,8001.0,asphalt
251,KBFF,8279.0,asphalt
252,KBFI,10007.0,asphalt
253,KBFL,10857.0,asphalt
254,KBGD,6300.0,asphalt
255,KBGE,5000.0,asphalt
256,KBGE,5003.0,asphalt
257,KBGE,5100.0,asphalt
258,KBGE,5502.0,asphalt
259,KBGF,5003.0,asphalt
260,KBGM,5002.0,asphalt
261,KBGM,7100.0,asphalt
262,KBGR,11440.0,asphalt
263,KBHB,5200.0,asphalt
264,KBHC,5003.0,asphalt
265,KBHM,7100.0,asphalt
266,KBHM,10000.0,asphalt
267,KBIH,5566.0,asphalt
268,KBIH,5600.0,asphalt
269,KBIH,7498.0,asphalt
270,KBIJ,5500.0,asphalt
271,KBIL,5501.0,asphalt
272,KBIL,10518.0,asphalt
273,KBIS,6600.0,asphalt
274,KBIS,8794.0,asphalt
275,KBIV,6264.0,asphalt
276,KBJC,7004.0,asphalt
277,KBJC,9000.0,asphalt
278,KBJI,5699.0,asphalt
279,KBJI,6598.0,asphalt
280,KBJJ,5191.0,asphalt
281,KBKE,5095.0,asphalt
282,KBKL,5197.0,asphalt
283,KBKL,6198.0,asphalt
284,KBKS,5002.0,asphalt
285,KBKW,5000.0,asphalt
286,KBKW,6750.0,asphalt
287,KBKX,5231.0,asphalt
288,KBLH,5800.0,asphalt
289,KBLH,6543.0,asphalt
290,KBLI,6701.0,asphalt
291,KBLM,7300.0,asphalt
292,KBMC,8900.0,asphalt
293,KBMG,6500.0,asphalt
294,KBML,5200.0,asphalt
295,KBMQ,5000.0,asphalt
296,KBNA,11030.0,asphalt
297,KBNG,5200.0,asphalt
298,KBNL,5119.0,asphalt
299,KBNL,5255.0,asphalt
300,KBNO,5100.0,asphalt
301,KBOI,5000.0,asphalt
302,KBOI,9763.0,asphalt
303,KBOI,10000.0,asphalt
304,KBOS,5000.0,asphalt
305,KBOS,7000.0,asphalt
306,KBOS,7861.0,asphalt
307,KBOS,10005.0,asphalt
308,KBOS,10083.0,asphalt
309,KBOW,5000.0,asphalt
310,KBOW,5000.0,asphalt
311,KBOW,5001.0,asphalt
312,KBPI,6803.0,asphalt
313,KBPK,5001.0,asphalt
